Fecha,Producto,Categoría,Municipio,Vendedor,Ventas,UnidadesVendidas
2021-03,Jugo de Naranja,Bebidas,Tlaltenango,Nora,167,73
2021-09,Leche,Lácteos,Jerez,Clauido,92,78
2021-02,Pan,Panadería,Fresnillo,Nora,198,47
2021-11,Jugo de Naranja,Bebidas,Fresnillo,Ana,53,98
2021-05,Platano,Frutas,Guadalupe,Francisco,133,74
2021-02,Manzana,Frutas,Tlaltenango,Nora,181,40
2021-06,Pan,Panadería,Guadalupe,Héctor,184,61
2021-12,Jugo de Naranja,Bebidas,Fresnillo,Héctor,89,82
2021-06,Jugo de Naranja,Bebidas,Jerez,Ana,200,64
2021-10,Pan,Panadería,Zacatecas,Francisco,173,89
2021-01,Jugo de Naranja,Bebidas,Jerez,Ana,66,94
2021-08,Leche,Lácteos,Zacatecas,Nora,159,80
2021-09,Pan,Panadería,Fresnillo,Héctor,51,87
2021-03,Leche,Lácteos,Fresnillo,Héctor,177,43
2021-01,Leche,Lácteos,Fresnillo,Ana,194,40
2021-11,Leche,Lácteos,Tlaltenango,Clauido,118,24
2021-02,Pan,Panadería,Tlaltenango,Clauido,70,62
2021-07,Pan,Panadería,Zacatecas,Nora,136,93
2021-09,Platano,Frutas,Fresnillo,Francisco,68,88
2021-08,Manzana,Frutas,Zacatecas,Clauido,62,67
2021-10,Jugo de Naranja,Bebidas,Fresnillo,Héctor,58,36
2021-07,Jugo de Naranja,Bebidas,Fresnillo,Clauido,193,81
2021-04,Platano,Frutas,Tlaltenango,Ana,197,42
2021-12,Manzana,Frutas,Tlaltenango,Ana,105,47
2021-10,Jugo de Naranja,Bebidas,Tlaltenango,Nora,190,88
2021-09,Manzana,Frutas,Fresnillo,Héctor,124,80
2021-02,Pan,Panadería,Zacatecas,Héctor,112,65
2021-12,Manzana,Frutas,Tlaltenango,Nora,188,95
2021-08,Platano,Frutas,Tlaltenango,Héctor,57,88
2021-12,Jugo de Naranja,Bebidas,Zacatecas,Nora,96,35
2021-05,Leche,Lácteos,Tlaltenango,Clauido,77,23
2021-03,Platano,Frutas,Guadalupe,Francisco,113,38
2021-12,Jugo de Naranja,Bebidas,Jerez,Francisco,181,37
2021-06,Jugo de Naranja,Bebidas,Fresnillo,Héctor,164,86
2021-09,Platano,Frutas,Tlaltenango,Ana,114,56
2021-12,Platano,Frutas,Guadalupe,Clauido,176,68
2021-03,Manzana,Frutas,Tlaltenango,Francisco,106,67
2021-05,Manzana,Frutas,Tlaltenango,Clauido,168,73
2021-11,Jugo de Naranja,Bebidas,Jerez,Héctor,160,66
2021-09,Pan,Panadería,Jerez,Héctor,72,98
2021-09,Platano,Frutas,Guadalupe,Francisco,115,39
2021-03,Platano,Frutas,Fresnillo,Héctor,50,64
2021-12,Leche,Lácteos,Guadalupe,Francisco,83,36
2021-02,Jugo de Naranja,Bebidas,Fresnillo,Clauido,140,99
2021-02,Jugo de Naranja,Bebidas,Jerez,Héctor,152,51
2021-07,Platano,Frutas,Zacatecas,Francisco,180,57
2021-09,Jugo de Naranja,Bebidas,Zacatecas,Héctor,184,36
2021-07,Platano,Frutas,Jerez,Francisco,114,94
2021-06,Leche,Lácteos,Zacatecas,Francisco,54,55
2021-04,Pan,Panadería,Tlaltenango,Clauido,122,97
2021-08,Jugo de Naranja,Bebidas,Zacatecas,Francisco,63,48
2021-11,Pan,Panadería,Tlaltenango,Clauido,81,97
2021-04,Leche,Lácteos,Zacatecas,Nora,151,66
2021-12,Manzana,Frutas,Fresnillo,Francisco,171,22
2021-10,Pan,Panadería,Zacatecas,Clauido,98,40
2021-09,Manzana,Frutas,Fresnillo,Héctor,196,43
2021-01,Jugo de Naranja,Bebidas,Jerez,Ana,141,97
2021-09,Manzana,Frutas,Fresnillo,Nora,96,63
2021-12,Platano,Frutas,Fresnillo,Francisco,63,27
2021-01,Manzana,Frutas,Tlaltenango,Francisco,59,86
2021-03,Platano,Frutas,Tlaltenango,Héctor,118,67
2021-08,Jugo de Naranja,Bebidas,Fresnillo,Nora,100,46
2021-02,Pan,Panadería,Fresnillo,Francisco,131,83
2021-07,Pan,Panadería,Jerez,Clauido,167,56
2021-09,Leche,Lácteos,Jerez,Clauido,143,20
2021-09,Leche,Lácteos,Fresnillo,Héctor,79,69
2021-05,Platano,Frutas,Fresnillo,Héctor,179,79
2021-04,Pan,Panadería,Tlaltenango,Héctor,108,77
2021-10,Leche,Lácteos,Fresnillo,Ana,100,22
2021-01,Leche,Lácteos,Guadalupe,Francisco,131,61
2021-08,Leche,Lácteos,Zacatecas,Clauido,117,75
2021-05,Platano,Frutas,Tlaltenango,Ana,106,88
2021-01,Manzana,Frutas,Tlaltenango,Ana,198,45
2021-05,Pan,Panadería,Fresnillo,Nora,109,99
2021-09,Platano,Frutas,Jerez,Nora,154,35
2021-04,Leche,Lácteos,Tlaltenango,Ana,77,80
2021-01,Manzana,Frutas,Tlaltenango,Francisco,121,20
2021-11,Leche,Lácteos,Fresnillo,Francisco,67,46
2021-01,Pan,Panadería,Jerez,Ana,88,55
2021-04,Platano,Frutas,Zacatecas,Francisco,121,56
2021-01,Jugo de Naranja,Bebidas,Jerez,Francisco,171,56
2021-03,Manzana,Frutas,Jerez,Clauido,179,55
2021-09,Jugo de Naranja,Bebidas,Jerez,Ana,112,54
2021-02,Jugo de Naranja,Bebidas,Guadalupe,Clauido,93,57
2021-12,Manzana,Frutas,Zacatecas,Clauido,80,28
2021-11,Jugo de Naranja,Bebidas,Tlaltenango,Francisco,148,100
2021-09,Leche,Lácteos,Jerez,Héctor,56,23
2021-04,Jugo de Naranja,Bebidas,Jerez,Nora,76,43
2021-02,Pan,Panadería,Fresnillo,Nora,154,60
2021-07,Manzana,Frutas,Fresnillo,Francisco,67,45
2021-12,Leche,Lácteos,Jerez,Francisco,99,81
2021-10,Pan,Panadería,Fresnillo,Francisco,69,99
2021-04,Leche,Lácteos,Guadalupe,Clauido,125,34
2021-06,Platano,Frutas,Jerez,Ana,192,40
2021-10,Jugo de Naranja,Bebidas,Guadalupe,Clauido,83,95
2021-08,Pan,Panadería,Jerez,Clauido,73,92
2021-03,Pan,Panadería,Fresnillo,Nora,176,34
2021-06,Leche,Lácteos,Fresnillo,Ana,164,96
2021-03,Jugo de Naranja,Bebidas,Jerez,Nora,88,20
2021-07,Platano,Frutas,Guadalupe,Ana,152,55
2021-09,Leche,Lácteos,Zacatecas,Francisco,165,91
2021-04,Jugo de Naranja,Bebidas,Jerez,Héctor,152,56
2021-05,Platano,Frutas,Fresnillo,Héctor,89,38
2021-06,Manzana,Frutas,Guadalupe,Ana,53,64
2021-11,Leche,Lácteos,Guadalupe,Francisco,78,69
2021-06,Platano,Frutas,Tlaltenango,Clauido,74,49
2021-06,Leche,Lácteos,Guadalupe,Nora,172,95
2021-05,Leche,Lácteos,Guadalupe,Nora,198,46
2021-02,Manzana,Frutas,Jerez,Francisco,113,66
2021-10,Jugo de Naranja,Bebidas,Fresnillo,Francisco,90,47
2021-09,Leche,Lácteos,Guadalupe,Clauido,78,79
2021-12,Platano,Frutas,Jerez,Clauido,198,96
2021-11,Leche,Lácteos,Jerez,Francisco,173,63
2021-01,Manzana,Frutas,Tlaltenango,Ana,117,90
2021-01,Jugo de Naranja,Bebidas,Guadalupe,Clauido,124,93
2021-11,Jugo de Naranja,Bebidas,Jerez,Francisco,113,86
2021-02,Pan,Panadería,Zacatecas,Héctor,70,79
2021-01,Pan,Panadería,Jerez,Francisco,145,20
2021-02,Leche,Lácteos,Jerez,Nora,123,91
2021-08,Leche,Lácteos,Jerez,Héctor,182,26
2021-06,Platano,Frutas,Zacatecas,Clauido,59,97
2021-09,Manzana,Frutas,Zacatecas,Ana,88,38
2021-02,Manzana,Frutas,Tlaltenango,Francisco,138,56
2021-06,Platano,Frutas,Tlaltenango,Clauido,177,74
2021-12,Leche,Lácteos,Tlaltenango,Ana,72,72
2021-08,Manzana,Frutas,Zacatecas,Clauido,65,79
2021-04,Manzana,Frutas,Tlaltenango,Ana,116,74
2021-02,Platano,Frutas,Fresnillo,Nora,143,20
2021-08,Leche,Lácteos,Tlaltenango,Ana,77,60
2021-12,Manzana,Frutas,Zacatecas,Clauido,148,45
2021-01,Jugo de Naranja,Bebidas,Jerez,Clauido,125,93
2021-11,Leche,Lácteos,Jerez,Ana,81,35
2021-04,Platano,Frutas,Fresnillo,Clauido,122,79
2021-07,Manzana,Frutas,Fresnillo,Ana,178,46
2021-09,Jugo de Naranja,Bebidas,Jerez,Nora,56,76
2021-06,Leche,Lácteos,Tlaltenango,Francisco,80,93
2021-04,Jugo de Naranja,Bebidas,Zacatecas,Nora,190,20
2021-12,Manzana,Frutas,Zacatecas,Nora,71,54
2021-05,Pan,Panadería,Tlaltenango,Clauido,69,71
2021-02,Jugo de Naranja,Bebidas,Jerez,Clauido,153,73
2021-07,Pan,Panadería,Guadalupe,Francisco,144,39
2021-06,Pan,Panadería,Jerez,Héctor,155,74
2021-06,Leche,Lácteos,Guadalupe,Nora,132,28
2021-12,Platano,Frutas,Zacatecas,Francisco,55,30
2021-03,Pan,Panadería,Zacatecas,Francisco,143,98
2021-03,Manzana,Frutas,Guadalupe,Francisco,104,30
2021-09,Manzana,Frutas,Zacatecas,Clauido,196,37
2021-04,Platano,Frutas,Fresnillo,Ana,105,67
2021-12,Jugo de Naranja,Bebidas,Zacatecas,Francisco,79,88
2021-09,Leche,Lácteos,Zacatecas,Clauido,113,28
2021-02,Jugo de Naranja,Bebidas,Jerez,Héctor,190,61
2021-08,Pan,Panadería,Jerez,Héctor,126,97
2021-02,Platano,Frutas,Fresnillo,Francisco,112,58
2021-01,Manzana,Frutas,Tlaltenango,Ana,198,48
2021-01,Platano,Frutas,Fresnillo,Ana,52,45
2021-08,Jugo de Naranja,Bebidas,Tlaltenango,Ana,110,91
2021-08,Jugo de Naranja,Bebidas,Zacatecas,Ana,140,64
2021-12,Manzana,Frutas,Guadalupe,Clauido,197,59
2021-12,Pan,Panadería,Guadalupe,Héctor,131,36
2021-08,Platano,Frutas,Fresnillo,Clauido,193,73
2021-03,Platano,Frutas,Jerez,Clauido,80,33
2021-01,Platano,Frutas,Fresnillo,Ana,114,90
2021-08,Leche,Lácteos,Tlaltenango,Clauido,188,75
2021-02,Leche,Lácteos,Tlaltenango,Héctor,178,91
2021-06,Jugo de Naranja,Bebidas,Zacatecas,Héctor,108,37
2021-01,Jugo de Naranja,Bebidas,Tlaltenango,Francisco,64,26
2021-10,Leche,Lácteos,Jerez,Clauido,65,47
2021-06,Leche,Lácteos,Jerez,Francisco,71,60
2021-08,Pan,Panadería,Jerez,Francisco,105,21
2021-08,Manzana,Frutas,Zacatecas,Clauido,112,44
2021-04,Pan,Panadería,Jerez,Nora,182,100
2021-10,Leche,Lácteos,Tlaltenango,Clauido,177,89
2021-01,Pan,Panadería,Jerez,Héctor,149,35
2021-11,Manzana,Frutas,Tlaltenango,Nora,157,52
2021-12,Manzana,Frutas,Jerez,Nora,183,62
2021-09,Manzana,Frutas,Jerez,Héctor,133,57
2021-06,Platano,Frutas,Zacatecas,Francisco,199,22
2021-11,Leche,Lácteos,Fresnillo,Héctor,62,42
2021-04,Platano,Frutas,Guadalupe,Francisco,132,51
2021-04,Pan,Panadería,Zacatecas,Francisco,165,72
2021-11,Leche,Lácteos,Zacatecas,Clauido,149,42
2021-03,Leche,Lácteos,Zacatecas,Nora,123,66
2021-02,Leche,Lácteos,Tlaltenango,Clauido,168,72
2021-01,Jugo de Naranja,Bebidas,Zacatecas,Clauido,86,48
2021-01,Pan,Panadería,Guadalupe,Clauido,108,97
2021-04,Manzana,Frutas,Zacatecas,Héctor,53,39
2021-07,Manzana,Frutas,Zacatecas,Héctor,196,27
2021-09,Leche,Lácteos,Guadalupe,Ana,130,75
2021-03,Jugo de Naranja,Bebidas,Guadalupe,Francisco,139,81
2021-01,Jugo de Naranja,Bebidas,Tlaltenango,Nora,141,22
2021-09,Jugo de Naranja,Bebidas,Tlaltenango,Nora,123,51
2021-07,Manzana,Frutas,Guadalupe,Clauido,119,22
2021-04,Platano,Frutas,Jerez,Francisco,70,95
2021-04,Platano,Frutas,Guadalupe,Nora,152,36
2021-12,Jugo de Naranja,Bebidas,Jerez,Ana,183,66
2021-06,Leche,Lácteos,Zacatecas,Clauido,151,27
2021-02,Manzana,Frutas,Fresnillo,Héctor,83,34
2021-11,Pan,Panadería,Jerez,Francisco,62,58
2021-05,Manzana,Frutas,Tlaltenango,Francisco,95,36
2021-08,Pan,Panadería,Guadalupe,Ana,55,81
2021-11,Platano,Frutas,Tlaltenango,Héctor,60,27
2021-06,Leche,Lácteos,Fresnillo,Héctor,67,61
2021-08,Pan,Panadería,Jerez,Francisco,118,83
2021-12,Jugo de Naranja,Bebidas,Jerez,Ana,137,20
2021-09,Jugo de Naranja,Bebidas,Tlaltenango,Héctor,169,51
2021-05,Manzana,Frutas,Jerez,Ana,118,36
2021-11,Platano,Frutas,Guadalupe,Clauido,185,30
2021-05,Manzana,Frutas,Fresnillo,Clauido,105,57
2021-02,Platano,Frutas,Tlaltenango,Héctor,114,33
2021-06,Pan,Panadería,Fresnillo,Nora,140,59
2021-11,Platano,Frutas,Jerez,Francisco,140,32
2021-11,Leche,Lácteos,Fresnillo,Francisco,82,58
2021-02,Manzana,Frutas,Zacatecas,Nora,104,32
2021-09,Jugo de Naranja,Bebidas,Jerez,Nora,170,44
2021-08,Platano,Frutas,Fresnillo,Héctor,116,23
2021-02,Pan,Panadería,Zacatecas,Ana,129,40
2021-10,Jugo de Naranja,Bebidas,Guadalupe,Nora,185,80
2021-02,Pan,Panadería,Jerez,Héctor,62,77
2021-08,Jugo de Naranja,Bebidas,Fresnillo,Ana,122,77
2021-01,Jugo de Naranja,Bebidas,Zacatecas,Héctor,91,79
2021-04,Jugo de Naranja,Bebidas,Guadalupe,Héctor,150,69
2021-03,Platano,Frutas,Zacatecas,Nora,119,86
2021-09,Jugo de Naranja,Bebidas,Jerez,Héctor,98,23
2021-06,Pan,Panadería,Jerez,Ana,84,45
2021-10,Leche,Lácteos,Guadalupe,Héctor,124,69
2021-10,Manzana,Frutas,Fresnillo,Héctor,145,26
2021-09,Jugo de Naranja,Bebidas,Zacatecas,Clauido,179,54
2021-05,Pan,Panadería,Zacatecas,Nora,68,78
2021-02,Pan,Panadería,Guadalupe,Ana,72,91
2021-10,Manzana,Frutas,Jerez,Francisco,187,67
2021-07,Jugo de Naranja,Bebidas,Jerez,Ana,88,60
2021-01,Jugo de Naranja,Bebidas,Jerez,Nora,86,89
2021-08,Manzana,Frutas,Fresnillo,Francisco,97,35
2021-12,Manzana,Frutas,Jerez,Francisco,84,90
2021-12,Leche,Lácteos,Zacatecas,Héctor,170,22
2021-12,Pan,Panadería,Tlaltenango,Francisco,115,92
2021-07,Jugo de Naranja,Bebidas,Fresnillo,Clauido,99,33
2021-06,Pan,Panadería,Zacatecas,Francisco,138,60
2021-05,Jugo de Naranja,Bebidas,Fresnillo,Héctor,155,62
2021-03,Pan,Panadería,Jerez,Francisco,100,95
2021-07,Platano,Frutas,Zacatecas,Nora,133,38
2021-06,Platano,Frutas,Jerez,Nora,180,74
2021-08,Platano,Frutas,Jerez,Nora,155,56
2021-12,Jugo de Naranja,Bebidas,Jerez,Ana,157,27
2021-12,Leche,Lácteos,Jerez,Nora,131,53
2021-11,Pan,Panadería,Jerez,Héctor,66,42
2021-10,Platano,Frutas,Tlaltenango,Francisco,123,100
2021-03,Platano,Frutas,Jerez,Clauido,175,49
2021-09,Jugo de Naranja,Bebidas,Jerez,Nora,112,92
2021-05,Leche,Lácteos,Guadalupe,Francisco,72,57
2021-12,Platano,Frutas,Jerez,Nora,190,54
2021-10,Manzana,Frutas,Tlaltenango,Ana,193,69
2021-09,Leche,Lácteos,Zacatecas,Ana,108,23
2021-09,Pan,Panadería,Jerez,Francisco,68,65
2021-10,Manzana,Frutas,Tlaltenango,Héctor,108,30
2021-11,Jugo de Naranja,Bebidas,Jerez,Nora,123,60
2021-10,Platano,Frutas,Tlaltenango,Clauido,60,21
2021-08,Platano,Frutas,Guadalupe,Héctor,151,28
2021-05,Leche,Lácteos,Zacatecas,Héctor,84,52
2021-05,Jugo de Naranja,Bebidas,Guadalupe,Clauido,171,42
2021-06,Jugo de Naranja,Bebidas,Guadalupe,Clauido,62,70
2021-05,Pan,Panadería,Zacatecas,Francisco,161,33
2021-12,Manzana,Frutas,Zacatecas,Héctor,73,35
2021-01,Platano,Frutas,Jerez,Clauido,76,75
2021-04,Pan,Panadería,Jerez,Francisco,198,68
2021-05,Platano,Frutas,Guadalupe,Ana,96,47
2021-12,Platano,Frutas,Jerez,Francisco,100,56
2021-01,Platano,Frutas,Guadalupe,Ana,93,26
2021-06,Platano,Frutas,Jerez,Ana,151,86
2021-05,Leche,Lácteos,Guadalupe,Clauido,66,66
2021-08,Jugo de Naranja,Bebidas,Fresnillo,Héctor,131,58
2021-03,Manzana,Frutas,Fresnillo,Francisco,189,70
2021-08,Platano,Frutas,Jerez,Ana,175,93
2021-05,Pan,Panadería,Tlaltenango,Héctor,76,76
2021-07,Jugo de Naranja,Bebidas,Guadalupe,Clauido,82,80
2021-04,Leche,Lácteos,Zacatecas,Clauido,82,56
2021-07,Pan,Panadería,Tlaltenango,Clauido,169,77
2021-09,Leche,Lácteos,Jerez,Clauido,120,74
2021-10,Jugo de Naranja,Bebidas,Jerez,Clauido,133,54
2021-09,Jugo de Naranja,Bebidas,Jerez,Clauido,156,52
2021-03,Jugo de Naranja,Bebidas,Fresnillo,Clauido,77,57
2021-07,Leche,Lácteos,Fresnillo,Francisco,116,22
2021-08,Manzana,Frutas,Zacatecas,Francisco,168,77
2021-09,Platano,Frutas,Zacatecas,Ana,129,68
2021-10,Manzana,Frutas,Tlaltenango,Ana,133,56
2021-08,Jugo de Naranja,Bebidas,Zacatecas,Clauido,87,74
2021-12,Leche,Lácteos,Zacatecas,Clauido,62,91
2021-01,Pan,Panadería,Fresnillo,Nora,60,46
2021-04,Leche,Lácteos,Tlaltenango,Nora,89,23
2021-06,Manzana,Frutas,Tlaltenango,Francisco,68,85
2021-05,Platano,Frutas,Fresnillo,Héctor,52,28
2021-10,Leche,Lácteos,Tlaltenango,Héctor,88,62
2021-11,Platano,Frutas,Tlaltenango,Francisco,177,43
2021-09,Leche,Lácteos,Tlaltenango,Clauido,143,42
2021-10,Jugo de Naranja,Bebidas,Fresnillo,Francisco,159,57
2021-06,Pan,Panadería,Zacatecas,Héctor,105,35
2021-03,Manzana,Frutas,Tlaltenango,Francisco,105,28
2021-04,Platano,Frutas,Guadalupe,Héctor,72,91
2021-04,Manzana,Frutas,Jerez,Héctor,146,90
2021-09,Manzana,Frutas,Zacatecas,Héctor,105,46
2021-12,Manzana,Frutas,Jerez,Héctor,171,26
2021-10,Jugo de Naranja,Bebidas,Guadalupe,Francisco,200,100
2021-04,Jugo de Naranja,Bebidas,Tlaltenango,Ana,129,23
2021-01,Leche,Lácteos,Tlaltenango,Francisco,198,34
2021-04,Manzana,Frutas,Zacatecas,Clauido,155,43
2021-07,Pan,Panadería,Guadalupe,Nora,101,68
2021-12,Manzana,Frutas,Tlaltenango,Héctor,92,75
2021-05,Pan,Panadería,Zacatecas,Héctor,120,72
2021-07,Manzana,Frutas,Tlaltenango,Ana,163,71
2021-09,Leche,Lácteos,Guadalupe,Clauido,112,94
2021-06,Leche,Lácteos,Fresnillo,Héctor,162,34
2021-11,Pan,Panadería,Guadalupe,Nora,65,58
2021-05,Manzana,Frutas,Tlaltenango,Ana,131,33
2021-10,Jugo de Naranja,Bebidas,Guadalupe,Nora,99,52
2021-06,Leche,Lácteos,Zacatecas,Clauido,102,65
2021-09,Manzana,Frutas,Zacatecas,Ana,118,35
2021-06,Jugo de Naranja,Bebidas,Jerez,Héctor,163,27
2021-09,Leche,Lácteos,Jerez,Nora,67,41
2021-06,Pan,Panadería,Fresnillo,Nora,79,35
2021-06,Jugo de Naranja,Bebidas,Jerez,Nora,144,22
2021-06,Jugo de Naranja,Bebidas,Zacatecas,Héctor,146,44
2021-09,Pan,Panadería,Fresnillo,Clauido,62,80
2021-06,Jugo de Naranja,Bebidas,Guadalupe,Nora,145,91
2021-05,Pan,Panadería,Guadalupe,Francisco,68,64
2021-04,Leche,Lácteos,Jerez,Clauido,154,66
2021-06,Manzana,Frutas,Tlaltenango,Francisco,146,89
2021-04,Jugo de Naranja,Bebidas,Guadalupe,Francisco,119,81
2021-04,Platano,Frutas,Zacatecas,Clauido,95,62
2021-05,Manzana,Frutas,Zacatecas,Ana,163,75
2021-06,Jugo de Naranja,Bebidas,Guadalupe,Francisco,158,50
2021-07,Platano,Frutas,Tlaltenango,Héctor,72,93
2021-06,Pan,Panadería,Tlaltenango,Clauido,121,92
2021-02,Platano,Frutas,Fresnillo,Héctor,151,52
2021-05,Jugo de Naranja,Bebidas,Guadalupe,Clauido,141,39
2021-09,Jugo de Naranja,Bebidas,Tlaltenango,Clauido,73,61
2021-05,Leche,Lácteos,Guadalupe,Clauido,151,22
2021-01,Jugo de Naranja,Bebidas,Tlaltenango,Francisco,200,55
2021-07,Manzana,Frutas,Jerez,Clauido,104,38
2021-10,Platano,Frutas,Tlaltenango,Francisco,139,36
2021-09,Platano,Frutas,Jerez,Ana,150,89
2021-04,Pan,Panadería,Fresnillo,Francisco,196,76
2021-11,Jugo de Naranja,Bebidas,Zacatecas,Ana,90,20
2021-02,Manzana,Frutas,Tlaltenango,Nora,147,99
2021-07,Manzana,Frutas,Tlaltenango,Clauido,191,32
2021-08,Leche,Lácteos,Fresnillo,Ana,179,64
2021-04,Platano,Frutas,Zacatecas,Nora,60,38
2021-05,Jugo de Naranja,Bebidas,Fresnillo,Héctor,124,58
2021-12,Leche,Lácteos,Tlaltenango,Héctor,164,30
2021-12,Platano,Frutas,Jerez,Francisco,75,80
2021-07,Leche,Lácteos,Zacatecas,Nora,108,29
2021-09,Manzana,Frutas,Guadalupe,Ana,101,37
2021-02,Manzana,Frutas,Tlaltenango,Clauido,171,91
2021-08,Jugo de Naranja,Bebidas,Tlaltenango,Ana,189,99
2021-03,Pan,Panadería,Jerez,Ana,101,96
2021-10,Pan,Panadería,Jerez,Héctor,155,53
2021-02,Manzana,Frutas,Jerez,Francisco,144,34
2021-04,Platano,Frutas,Fresnillo,Francisco,194,40
2021-01,Platano,Frutas,Guadalupe,Héctor,74,22
2021-10,Pan,Panadería,Tlaltenango,Ana,141,49
2021-04,Jugo de Naranja,Bebidas,Jerez,Nora,55,95
2021-07,Jugo de Naranja,Bebidas,Zacatecas,Nora,52,94
2021-03,Jugo de Naranja,Bebidas,Zacatecas,Ana,133,86
2021-06,Jugo de Naranja,Bebidas,Zacatecas,Francisco,123,26
2021-07,Jugo de Naranja,Bebidas,Guadalupe,Ana,92,76
2021-01,Manzana,Frutas,Jerez,Héctor,126,44
2021-02,Jugo de Naranja,Bebidas,Tlaltenango,Héctor,139,58
2021-02,Manzana,Frutas,Guadalupe,Nora,184,66
2021-10,Leche,Lácteos,Guadalupe,Ana,200,25
2021-01,Platano,Frutas,Zacatecas,Héctor,68,31
2021-10,Platano,Frutas,Zacatecas,Francisco,126,62
2021-04,Pan,Panadería,Guadalupe,Francisco,178,84
2021-03,Leche,Lácteos,Tlaltenango,Clauido,155,74
2021-11,Manzana,Frutas,Zacatecas,Nora,53,47
2021-10,Pan,Panadería,Zacatecas,Francisco,177,93
2021-03,Leche,Lácteos,Fresnillo,Ana,113,58
2021-09,Manzana,Frutas,Guadalupe,Héctor,89,43
2021-01,Manzana,Frutas,Guadalupe,Héctor,144,84
2021-01,Jugo de Naranja,Bebidas,Zacatecas,Clauido,103,28
2021-05,Leche,Lácteos,Guadalupe,Francisco,200,59
2021-12,Platano,Frutas,Fresnillo,Nora,89,74
2021-11,Leche,Lácteos,Tlaltenango,Francisco,168,56
2021-09,Manzana,Frutas,Fresnillo,Nora,114,98
2021-05,Platano,Frutas,Tlaltenango,Clauido,181,94
2021-03,Platano,Frutas,Tlaltenango,Nora,98,88
2021-02,Leche,Lácteos,Guadalupe,Clauido,138,49
2021-02,Pan,Panadería,Zacatecas,Clauido,88,25
2021-06,Jugo de Naranja,Bebidas,Guadalupe,Héctor,95,79
2021-01,Pan,Panadería,Fresnillo,Francisco,169,33
2021-05,Jugo de Naranja,Bebidas,Fresnillo,Ana,75,77
2021-01,Leche,Lácteos,Jerez,Clauido,123,58
2021-09,Pan,Panadería,Tlaltenango,Ana,111,75
2021-02,Pan,Panadería,Tlaltenango,Héctor,136,73
2021-03,Platano,Frutas,Fresnillo,Clauido,87,20
2021-01,Jugo de Naranja,Bebidas,Tlaltenango,Ana,74,91
2021-11,Leche,Lácteos,Fresnillo,Ana,139,71
2021-09,Jugo de Naranja,Bebidas,Jerez,Héctor,115,47
2021-09,Platano,Frutas,Tlaltenango,Ana,103,98
2021-09,Leche,Lácteos,Tlaltenango,Ana,131,78
2021-06,Pan,Panadería,Guadalupe,Clauido,139,20
2021-07,Pan,Panadería,Tlaltenango,Clauido,145,54
2021-02,Leche,Lácteos,Jerez,Ana,79,28
2021-02,Jugo de Naranja,Bebidas,Guadalupe,Héctor,61,27
2021-03,Jugo de Naranja,Bebidas,Guadalupe,Héctor,57,37
2021-05,Leche,Lácteos,Fresnillo,Clauido,177,68
2021-02,Manzana,Frutas,Guadalupe,Clauido,140,59
2021-01,Pan,Panadería,Fresnillo,Francisco,92,73
2021-07,Pan,Panadería,Guadalupe,Clauido,84,57
2021-05,Pan,Panadería,Zacatecas,Nora,127,28
2021-06,Leche,Lácteos,Tlaltenango,Héctor,161,22
2021-11,Manzana,Frutas,Guadalupe,Ana,169,76
2021-07,Leche,Lácteos,Fresnillo,Ana,186,80
2021-09,Manzana,Frutas,Guadalupe,Clauido,174,72
2021-11,Manzana,Frutas,Jerez,Ana,93,66
2021-06,Manzana,Frutas,Guadalupe,Héctor,81,21
2021-04,Manzana,Frutas,Fresnillo,Francisco,164,25
2021-11,Platano,Frutas,Jerez,Clauido,123,94
2021-11,Platano,Frutas,Jerez,Nora,184,48
2021-01,Leche,Lácteos,Zacatecas,Clauido,64,46
2021-12,Leche,Lácteos,Guadalupe,Nora,129,68
2021-08,Leche,Lácteos,Guadalupe,Clauido,186,63
2021-10,Leche,Lácteos,Zacatecas,Clauido,130,73
